Shop-ID;Brand;Country;Postcode;City;Street and Housenumber;Complete adress;With brand
5976185;Subway;DE;26382;Wilhelmshaven;Mozart Straße 2;Mozart Straße 2 26382 Wilhelmshaven;Subway Mozart Straße 2 26382 Wilhelmshaven
5976549;Subway;DE;26548;Norderney;Poststraße 6;Poststraße 6 26548 Norderney;Subway Poststraße 6 26548 Norderney
5976578;Subway;DE;26721;Emden;Zwischen beiden Märkten 10;Zwischen beiden Märkten 10 26721 Emden;Subway Zwischen beiden Märkten 10 26721 Emden
5976234;Subway;DE;26789;Leer;Mühlenstr. 44;Mühlenstr. 44 26789 Leer;Subway Mühlenstr. 44 26789 Leer
5976469;Subway;DE;26871;Papenburg;Karl-Hillers-Str. 2;Karl-Hillers-Str. 2 26871 Papenburg;Subway Karl-Hillers-Str. 2 26871 Papenburg
5976331;Subway;DE;26954;Nordenham;Bahnhofsstr. 6;Bahnhofsstr. 6 26954 Nordenham;Subway Bahnhofsstr. 6 26954 Nordenham
5976254;Subway;DE;27283;Verden;Herrlichkeit 5;Herrlichkeit 5 27283 Verden;Subway Herrlichkeit 5 27283 Verden
5976555;Subway;DE;27356;Rotenburg;Verdenerstraße 4;Verdenerstraße 4 27356 Rotenburg;Subway Verdenerstraße 4 27356 Rotenburg
5976554;Subway;DE;27404;Gyhum;An der Autobahn 10;An der Autobahn 10 27404 Gyhum;Subway An der Autobahn 10 27404 Gyhum
5976191;Subway;DE;27404;Zeven;Bahnhofstrasse 52;Bahnhofstrasse 52 27404 Zeven;Subway Bahnhofstrasse 52 27404 Zeven
5976480;Subway;DE;27419;Sittensen;Hansestraße 3;Hansestraße 3 27419 Sittensen;Subway Hansestraße 3 27419 Sittensen
5976427;Subway;DE;27749;Delmenhorst;Hasporter Damm 110-114;Hasporter Damm 110-114 27749 Delmenhorst;Subway Hasporter Damm 110-114 27749 Delmenhorst
5976174;Subway;DE;28195;Bremen;Bahnhofsplatz 15;Bahnhofsplatz 15 28195 Bremen;Subway Bahnhofsplatz 15 28195 Bremen
5976113;Subway;DE;28195;Bremen;Sögestrasse 55 - 57;Sögestrasse 55 - 57 28195 Bremen;Subway Sögestrasse 55 - 57 28195 Bremen
5976362;Subway;DE;28199;Bremen;Langemarckstraße 195;Langemarckstraße 195 28199 Bremen;Subway Langemarckstraße 195 28199 Bremen
5976382;Subway;DE;28203;Bremen;Bismarckstraße 153-155;Bismarckstraße 153-155 28203 Bremen;Subway Bismarckstraße 153-155 28203 Bremen
5976318;Subway;DE;28217;Bremen;Konsul-Smidt-Str. 8;Konsul-Smidt-Str. 8 28217 Bremen;Subway Konsul-Smidt-Str. 8 28217 Bremen
5976500;Subway;DE;28237;Bremen;AG-Weser-Str. 3;AG-Weser-Str. 3 28237 Bremen;Subway AG-Weser-Str. 3 28237 Bremen
5976631;Subway;DE;28239;Bremen;Schragerstrasse 4;Schragerstrasse 4 28239 Bremen;Subway Schragerstrasse 4 28239 Bremen
5976314;Subway;DE;28279;Bremen;Steinsetzerstr. 11;Steinsetzerstr. 11 28279 Bremen;Subway Steinsetzerstr. 11 28279 Bremen
5976335;Subway;DE;28307;Bremen;Hans-Bredow Str. 9;Hans-Bredow Str. 9 28307 Bremen;Subway Hans-Bredow Str. 9 28307 Bremen
5976540;Subway;DE;28816;Stuhr;3-K-Weg 25;3-K-Weg 25 28816 Stuhr;Subway 3-K-Weg 25 28816 Stuhr
5976539;Subway;DE;28816;Stuhr;Bremerstraße 106;Bremerstraße 106 28816 Stuhr;Subway Bremerstraße 106 28816 Stuhr
5976633;Subway;DE;28832;Achim;Margarethe-Steiff-Allee 7;Margarethe-Steiff-Allee 7 28832 Achim;Subway Margarethe-Steiff-Allee 7 28832 Achim
5976272;Subway;DE;28844;Weyhe;Handelsweg 5;Handelsweg 5 28844 Weyhe;Subway Handelsweg 5 28844 Weyhe
5976437;Subway;DE;28857;Syke;Barrierstr. 46B;Barrierstr. 46B 28857 Syke;Subway Barrierstr. 46B 28857 Syke
5976141;Subway;DE;29221;Celle;Hehlentorstr. 14;Hehlentorstr. 14 29221 Celle;Subway Hehlentorstr. 14 29221 Celle
5976533;Subway;DE;29410;Salzwedel;Buchenallee 4;Buchenallee 4 29410 Salzwedel;Subway Buchenallee 4 29410 Salzwedel
5976632;Subway;DE;29633;Munster;Veestherrnweg 12;Veestherrnweg 12 29633 Munster;Subway Veestherrnweg 12 29633 Munster
5976225;Subway;DE;30159;Hannover;Georgsplatz 12;Georgsplatz 12 30159 Hannover;Subway Georgsplatz 12 30159 Hannover
5976105;Subway;DE;30159;Hannover;Schillerstraße 28;Schillerstraße 28 30159 Hannover;Subway Schillerstraße 28 30159 Hannover
5976135;Subway;DE;30161;Hannover;Runde Straße 5;Runde Straße 5 30161 Hannover;Subway Runde Straße 5 30161 Hannover
5976125;Subway;DE;30171;Hannover;Marienstr. 50;Marienstr. 50 30171 Hannover;Subway Marienstr. 50 30171 Hannover
5976452;Subway;DE;30175;Hannover;Berliner Allee 19;Berliner Allee 19 30175 Hannover;Subway Berliner Allee 19 30175 Hannover
5976152;Subway;DE;30179;Hannover;Vahrenwalderstr. 269A;Vahrenwalderstr. 269A 30179 Hannover;Subway Vahrenwalderstr. 269A 30179 Hannover
5976156;Subway;DE;30625;Hannover;Karl-Wiechert-Allee 70-76;Karl-Wiechert-Allee 70-76 30625 Hannover;Subway Karl-Wiechert-Allee 70-76 30625 Hannover
